caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,justiceName,vote,opinion,direction,majority,firstAgreement,secondAgreement
1946-001,1946-001-01,1946-001-01-01,1946-001-01-01-01-01,11/18/1946,1,329 U.S. 1,67 S. Ct. 6,91 L. Ed. 3,1946 U.S. LEXIS 1724,1946,1301,Vinson,24,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER et al., DOING BUSINESS AS DEPTHOGRAPH CO.",1/9/46,10/23/46,198,,172,,6,,,0,51,6,29,,0,11,2,1,1,3,0,1,1,0,80180,8,2,0,4,,6,600,35 U.S.C. _ 33,78,78,1,8,1,86,HHBurton,2,1,1,1,,
1946-001,1946-001-01,1946-001-01-01,1946-001-01-01-01-02,11/18/1946,1,329 U.S. 1,67 S. Ct. 6,91 L. Ed. 3,1946 U.S. LEXIS 1724,1946,1301,Vinson,24,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER et al., DOING BUSINESS AS DEPTHOGRAPH CO.",1/9/46,10/23/46,198,,172,,6,,,0,51,6,29,,0,11,2,1,1,3,0,1,1,0,80180,8,2,0,4,,6,600,35 U.S.C. _ 33,78,78,1,8,1,84,RHJackson,1,1,2,2,,
1946-001,1946-001-01,1946-001-01-01,1946-001-01-01-01-03,11/18/1946,1,329 U.S. 1,67 S. Ct. 6,91 L. Ed. 3,1946 U.S. LEXIS 1724,1946,1301,Vinson,24,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER et al., DOING BUSINESS AS DEPTHOGRAPH CO.",1/9/46,10/23/46,198,,172,,6,,,0,51,6,29,,0,11,2,1,1,3,0,1,1,0,80180,8,2,0,4,,6,600,35 U.S.C. _ 33,78,78,1,8,1,81,WODouglas,1,1,2,2,,
1946-001,1946-001-01,1946-001-01-01,1946-001-01-01-01-04,11/18/1946,1,329 U.S. 1,67 S. Ct. 6,91 L. Ed. 3,1946 U.S. LEXIS 1724,1946,1301,Vinson,24,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER et al., DOING BUSINESS AS DEPTHOGRAPH CO.",1/9/46,10/23/46,198,,172,,6,,,0,51,6,29,,0,11,2,1,1,3,0,1,1,0,80180,8,2,0,4,,6,600,35 U.S.C. _ 33,78,78,1,8,1,80,FFrankfurter,4,2,2,2,,
1946-001,1946-001-01,1946-001-01-01,1946-001-01-01-01-05,11/18/1946,1,329 U.S. 1,67 S. Ct. 6,91 L. Ed. 3,1946 U.S. LEXIS 1724,1946,1301,Vinson,24,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER et al., DOING BUSINESS AS DEPTHOGRAPH CO.",1/9/46,10/23/46,198,,172,,6,,,0,51,6,29,,0,11,2,1,1,3,0,1,1,0,80180,8,2,0,4,,6,600,35 U.S.C. _ 33,78,78,1,8,1,79,SFReed,1,1,2,2,,
1946-001,1946-001-01,1946-001-01-01,1946-001-01-01-01-06,11/18/1946,1,329 U.S. 1,67 S. Ct. 6,91 L. Ed. 3,1946 U.S. LEXIS 1724,1946,1301,Vinson,24,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER et al., DOING BUSINESS AS DEPTHOGRAPH CO.",1/9/46,10/23/46,198,,172,,6,,,0,51,6,29,,0,11,2,1,1,3,0,1,1,0,80180,8,2,0,4,,6,600,35 U.S.C. _ 33,78,78,1,8,1,78,HLBlack,1,2,2,2,,
1946-001,1946-001-01,1946-001-01-01,1946-001-01-01-01-07,11/18/1946,1,329 U.S. 1,67 S. Ct. 6,91 L. Ed. 3,1946 U.S. LEXIS 1724,1946,1301,Vinson,24,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER et al., DOING BUSINESS AS DEPTHOGRAPH CO.",1/9/46,10/23/46,198,,172,,6,,,0,51,6,29,,0,11,2,1,1,3,0,1,1,0,80180,8,2,0,4,,6,600,35 U.S.C. _ 33,78,78,1,8,1,85,WBRutledge,1,1,2,2,,
1946-001,1946-001-01,1946-001-01-01,1946-001-01-01-01-08,11/18/1946,1,329 U.S. 1,67 S. Ct. 6,91 L. Ed. 3,1946 U.S. LEXIS 1724,1946,1301,Vinson,24,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER et al., DOING BUSINESS AS DEPTHOGRAPH CO.",1/9/46,10/23/46,198,,172,,6,,,0,51,6,29,,0,11,2,1,1,3,0,1,1,0,80180,8,2,0,4,,6,600,35 U.S.C. _ 33,78,78,1,8,1,82,FMurphy,1,1,2,2,,
1946-001,1946-001-01,1946-001-01-01,1946-001-01-01-01-09,11/18/1946,1,329 U.S. 1,67 S. Ct. 6,91 L. Ed. 3,1946 U.S. LEXIS 1724,1946,1301,Vinson,24,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER et al., DOING BUSINESS AS DEPTHOGRAPH CO.",1/9/46,10/23/46,198,,172,,6,,,0,51,6,29,,0,11,2,1,1,3,0,1,1,0,80180,8,2,0,4,,6,600,35 U.S.C. _ 33,78,78,1,8,1,87,FMVinson,1,1,2,2,,
1946-002,1946-002-01,1946-002-01-01,1946-002-01-01-01-01,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,12,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,86,HHBurton,1,1,1,2,,
1946-002,1946-002-01,1946-002-01-01,1946-002-01-01-01-02,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,12,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,84,RHJackson,2,3,2,1,,
1946-002,1946-002-01,1946-002-01-01,1946-002-01-01-01-03,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,12,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,81,WODouglas,1,2,1,2,,
1946-002,1946-002-01,1946-002-01-01,1946-002-01-01-01-04,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,12,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,80,FFrankfurter,1,1,1,2,,
1946-002,1946-002-01,1946-002-01-01,1946-002-01-01-01-05,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,12,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,79,SFReed,1,1,1,2,,
1946-002,1946-002-01,1946-002-01-01,1946-002-01-01-01-06,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,12,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,78,HLBlack,2,3,2,1,,
1946-002,1946-002-01,1946-002-01-01,1946-002-01-01-01-07,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,12,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,85,WBRutledge,4,2,1,2,,
1946-002,1946-002-01,1946-002-01-01,1946-002-01-01-01-08,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,12,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,82,FMurphy,2,2,2,1,,
1946-002,1946-002-01,1946-002-01-01,1946-002-01-01-01-09,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,12,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,87,FMVinson,1,1,1,2,,
1946-002,1946-002-02,1946-002-02-01,1946-002-02-01-01-01,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,17,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,86,HHBurton,1,1,1,2,,
1946-002,1946-002-02,1946-002-02-01,1946-002-02-01-01-02,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,17,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,84,RHJackson,2,3,2,1,,
1946-002,1946-002-02,1946-002-02-01,1946-002-02-01-01-03,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,17,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,81,WODouglas,1,2,1,2,,
1946-002,1946-002-02,1946-002-02-01,1946-002-02-01-01-04,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,17,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,80,FFrankfurter,1,1,1,2,,
1946-002,1946-002-02,1946-002-02-01,1946-002-02-01-01-05,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,17,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,79,SFReed,1,1,1,2,,
1946-002,1946-002-02,1946-002-02-01,1946-002-02-01-01-06,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,17,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,78,HLBlack,2,3,2,1,,
1946-002,1946-002-02,1946-002-02-01,1946-002-02-01-01-07,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,17,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,85,WBRutledge,4,2,1,2,,
1946-002,1946-002-02,1946-002-02-01,1946-002-02-01-01-08,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,17,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,82,FMurphy,2,2,2,1,,
1946-002,1946-002-02,1946-002-02-01,1946-002-02-01-01-09,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,17,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,87,FMVinson,1,1,1,2,,
1946-002,1946-002-03,1946-002-03-01,1946-002-03-01-01-01,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,14,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,86,HHBurton,1,1,1,2,,
1946-002,1946-002-03,1946-002-03-01,1946-002-03-01-01-02,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,14,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,84,RHJackson,2,3,2,1,,
1946-002,1946-002-03,1946-002-03-01,1946-002-03-01-01-03,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,14,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,81,WODouglas,1,2,1,2,,
1946-002,1946-002-03,1946-002-03-01,1946-002-03-01-01-04,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,14,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,80,FFrankfurter,1,1,1,2,,
1946-002,1946-002-03,1946-002-03-01,1946-002-03-01-01-05,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,14,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,79,SFReed,1,1,1,2,,
1946-002,1946-002-03,1946-002-03-01,1946-002-03-01-01-06,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,14,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,78,HLBlack,2,3,2,1,,
1946-002,1946-002-03,1946-002-03-01,1946-002-03-01-01-07,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,14,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,85,WBRutledge,4,2,1,2,,
1946-002,1946-002-03,1946-002-03-01,1946-002-03-01-01-08,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,14,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,82,FMurphy,2,2,2,1,,
1946-002,1946-002-03,1946-002-03-01,1946-002-03-01-01-09,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,14,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,87,FMVinson,1,1,1,2,,
1946-002,1946-002-04,1946-002-04-01,1946-002-04-01-01-01,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,19,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,86,HHBurton,1,1,1,2,,
1946-002,1946-002-04,1946-002-04-01,1946-002-04-01-01-02,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,19,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,84,RHJackson,2,3,2,1,,
1946-002,1946-002-04,1946-002-04-01,1946-002-04-01-01-03,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,19,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,81,WODouglas,1,2,1,2,,
1946-002,1946-002-04,1946-002-04-01,1946-002-04-01-01-04,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,19,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,80,FFrankfurter,1,1,1,2,,
1946-002,1946-002-04,1946-002-04-01,1946-002-04-01-01-05,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,19,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,79,SFReed,1,1,1,2,,
1946-002,1946-002-04,1946-002-04-01,1946-002-04-01-01-06,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,19,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,78,HLBlack,2,3,2,1,,
1946-002,1946-002-04,1946-002-04-01,1946-002-04-01-01-07,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,19,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,85,WBRutledge,4,2,1,2,,
1946-002,1946-002-04,1946-002-04-01,1946-002-04-01-01-08,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,19,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,82,FMurphy,2,2,2,1,,
1946-002,1946-002-04,1946-002-04-01,1946-002-04-01-01-09,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,19,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,87,FMVinson,1,1,1,2,,
1946-002,1946-002-05,1946-002-05-01,1946-002-05-01-01-01,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,13,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,86,HHBurton,1,1,1,2,,
1946-002,1946-002-05,1946-002-05-01,1946-002-05-01-01-02,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,13,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,84,RHJackson,2,3,2,1,,
1946-002,1946-002-05,1946-002-05-01,1946-002-05-01-01-03,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,13,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,81,WODouglas,1,2,1,2,,
1946-002,1946-002-05,1946-002-05-01,1946-002-05-01-01-04,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,13,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,80,FFrankfurter,1,1,1,2,,
1946-002,1946-002-05,1946-002-05-01,1946-002-05-01-01-05,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,13,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,79,SFReed,1,1,1,2,,
1946-002,1946-002-05,1946-002-05-01,1946-002-05-01-01-06,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,13,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,78,HLBlack,2,3,2,1,,
1946-002,1946-002-05,1946-002-05-01,1946-002-05-01-01-07,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,13,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,85,WBRutledge,4,2,1,2,,
1946-002,1946-002-05,1946-002-05-01,1946-002-05-01-01-08,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,13,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,82,FMurphy,2,2,2,1,,
1946-002,1946-002-05,1946-002-05-01,1946-002-05-01-01-09,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,13,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,87,FMVinson,1,1,1,2,,
1946-002,1946-002-06,1946-002-06-01,1946-002-06-01-01-01,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,16,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,86,HHBurton,1,1,1,2,,
1946-002,1946-002-06,1946-002-06-01,1946-002-06-01-01-02,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,16,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,84,RHJackson,2,3,2,1,,
1946-002,1946-002-06,1946-002-06-01,1946-002-06-01-01-03,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,16,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,81,WODouglas,1,2,1,2,,
1946-002,1946-002-06,1946-002-06-01,1946-002-06-01-01-04,11/18/1946,1,329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,1301,Vinson,16,CLEVELAND v. UNITED STATES,10/10/45,10/17/46,100,,27,,1,,,0,123,52,30,,0,4,2,1,1,2,0,0,0,0,10500,1,1,0,4,,6,600,18 U.S.C. _ 398,81,87,1,6,3,80,FFrankfurter,1,1,1,2,,
